station_1,station_1_name,station_2,station_2_name,distance
11,Baker Street,163,Marylebone,416.5860504
11,Baker Street,212,Regent's Park,734.1736362
49,Charing Cross,87,Embankment,179.5034177
49,Charing Cross,197,Picadilly Circus,689.2898454
82,Edgware Road (B),163,Marylebone,441.2181041
82,Edgware Road (B),193,Paddington,727.2997521
84,Elephant & Castle,148,Lambeth North,954.961552
87,Embankment,279,Waterloo,698.0514602
113,Harlesden,246,Stonebridge Park,1537.397099
113,Harlesden,298,Willesden Junction,783.2255768
114,Harrow & Wealdston,140,Kenton,1785.108173
137,Kensal Green,206,Queen's Park,1467.565419
137,Kensal Green,298,Willesden Junction,1600.973735
140,Kenton,237,South Kenton,1397.280904
143,Kilburn Park,159,Maida Vale,818.4469919
143,Kilburn Park,206,Queen's Park,757.6035738
148,Lambeth North,279,Waterloo,537.0874553
159,Maida Vale,278,Warwick Avenue,735.1021661
185,North Wembley,237,South Kenton,947.86026
185,North Wembley,281,Wembley Central,1237.066713
192,Oxford Circus,197,Picadilly Circus,769.1130905
192,Oxford Circus,212,Regent's Park,999.3665176
193,Paddington,278,Warwick Avenue,1058.532192
246,Stonebridge Park,281,Wembley Central,1671.746263
13,Bank,156,Liverpool Street,664.7679077
13,Bank,250,St. Paul's,621.0255001
16,Barkingside,91,Fairlop,1169.998667
16,Barkingside,173,Newbury Park,1115.698853
24,Bethnal Green,156,Liverpool Street,2159.701938
24,Bethnal Green,164,Mile End,1524.01927
28,Bond Street,162,Marble Arch,642.1376482
28,Bond Street,192,Oxford Circus,555.5807425
37,Buckhurst Hill,158,Loughton,1732.489215
37,Buckhurst Hill,301,Woodford,2359.277768
48,Chancery Lane,126,Holborn,629.7834868
48,Chancery Lane,250,St. Paul's,1051.621998
51,Chigwell,103,Grange Hill,1266.788748
51,Chigwell,215,Roding Valley,2189.695703
68,Debden,158,Loughton,1996.400835
68,Debden,256,Theydon Bois,3212.205693
72,Ealing Broadway,286,West Acton,1477.062806
76,East Acton,181,North Acton,1148.131889
76,East Acton,296,White City,1716.52575
88,Epping,256,Theydon Bois,2555.179796
91,Fairlop,109,Hainault,792.2941639
98,Gants Hill,173,Newbury Park,1639.128638
98,Gants Hill,211,Redbridge,1449.049787
103,Grange Hill,109,Hainault,1136.963417
105,Greenford,177,Northolt,1735.967934
105,Greenford,196,Perivale,1678.534737
112,Hanger Lane,181,North Acton,2441.392212
112,Hanger Lane,196,Perivale,2193.541197
126,Holborn,259,Tottenham Court Road,770.0999143
127,Holland Park,186,Notting Hill Gate,679.4005317
127,Holland Park,226,Shepherd's Bush (C),938.953586
149,Lancaster Gate,162,Marble Arch,1195.219467
149,Lancaster Gate,208,Queensway,850.5660127
153,Leyton,154,Leytonstone,1607.463739
153,Leyton,247,Stratford,1670.624943
154,Leytonstone,230,Snaresbrook,1668.633647
154,Leytonstone,275,Wanstead,1751.485427
164,Mile End,247,Stratford,2738.907345
177,Northolt,239,South Ruislip,2296.568495
181,North Acton,286,West Acton,1602.307554
186,Notting Hill Gate,208,Queensway,641.3489058
192,Oxford Circus,259,Tottenham Court Road,747.7357561
211,Redbridge,275,Wanstead,1158.490608
215,Roding Valley,301,Woodford,1312.856693
221,Ruislip Gardens,239,South Ruislip,897.5135235
221,Ruislip Gardens,294,West Ruislip,2141.542689
226,Shepherd's Bush (C),296,White City,898.986684
230,Snaresbrook,241,South Woodford,1279.816325
241,South Woodford,301,Woodford,1762.631239
2,Aldgate,156,Liverpool Street,611.9207912
2,Aldgate,263,Tower Hill,506.4516248
11,Baker Street,83,Edgware Road (C),931.2115774
11,Baker Street,104,Great Portland Street,925.826411
14,Barbican,92,Farringdon,513.7514262
14,Barbican,167,Moorgate,675.8724451
18,Bayswater,186,Notting Hill Gate,680.7914757
18,Bayswater,193,Paddington,935.8326023
25,Blackfriars,161,Mansion House,632.1331138
25,Blackfriars,255,Temple,770.1894229
44,Cannon Street,161,Mansion House,269.2345819
44,Cannon Street,166,Monument,290.022344
83,Edgware Road (C),193,Paddington,665.5494256
87,Embankment,255,Temple,702.5372371
87,Embankment,285,Westminster,743.8728964
90,Euston Square,104,Great Portland Street,606.7802471
90,Euston Square,145,King's Cross St. Pancras,995.1423672
92,Farringdon,145,King's Cross St. Pancras,1735.85691
99,Gloucester Road,122,High Street Kensington,975.4249839
99,Gloucester Road,236,South Kensington,633.552488
122,High Street Kensington,186,Notting Hill Gate,989.633671
156,Liverpool Street,167,Moorgate,446.2670918
166,Monument,263,Tower Hill,682.5499392
229,Sloane Square,236,South Kensington,1216.294206
229,Sloane Square,273,Victoria,937.8993871
248,St. James's Park,273,Victoria,842.0365732
248,St. James's Park,285,Westminster,589.9628407
3,Aldgate East,263,Tower Hill,682.125031
3,Aldgate East,295,Whitechapel,907.8777767
15,Barking,78,East Ham,2026.031984
15,Barking,269,Upney,1420.656899
17,Barons Court,110,Hammersmith,850.9027635
17,Barons Court,293,West Kensington,514.4469763
18,Bayswater,186,Notting Hill Gate,680.7914757
18,Bayswater,193,Paddington,935.8326023
21,Becontree,67,Dagenham Heathway,1389.384758
21,Becontree,269,Upney,1787.398583
25,Blackfriars,161,Mansion House,632.1331138
25,Blackfriars,255,Temple,770.1894229
33,Bow Road,36,Bromley-By-Bow,918.5472805
306,London City Airport,307,King George V,983.5206702
33,Bow Road,164,Mile End,630.4817217
36,Bromley-By-Bow,289,West Ham,1289.682108
44,Cannon Street,161,Mansion House,269.2345819
44,Cannon Street,166,Monument,290.022344
52,Chiswick Park,1,Acton Town,1249.750599
52,Chiswick Park,265,Turnham Green,911.472439
66,Dagenham East,67,Dagenham Heathway,1322.404416
66,Dagenham East,85,Elm Park,2310.209344
72,Ealing Broadway,73,Ealing Common,1095.573545
73,Ealing Common,1,Acton Town,987.887901
74,Earl's Court,99,Gloucester Road,1038.049385
74,Earl's Court,122,High Street Kensington,1044.796723
74,Earl's Court,138,Kensington (Olympia),1159.498246
74,Earl's Court,287,West Brompton,551.8078145
74,Earl's Court,293,West Kensington,655.1386417
78,East Ham,270,Upton Park,1301.029805
80,East Putney,205,Putney Bridge,1079.962726
80,East Putney,231,Southfields,1502.999687
83,Edgware Road (C),193,Paddington,665.5494256
85,Elm Park,129,Hornchurch,1513.397621
87,Embankment,255,Temple,702.5372371
87,Embankment,285,Westminster,743.8728964
96,Fulham Broadway,195,Parsons Green,708.2071183
96,Fulham Broadway,287,West Brompton,756.8381299
99,Gloucester Road,236,South Kensington,633.552488
108,Gunnersbury,141,Kew Gardens,1745.630318
108,Gunnersbury,265,Turnham Green,1492.380945
110,Hammersmith,209,Ravenscourt Park,753.0223907
122,High Street Kensington,186,Notting Hill Gate,989.633671
129,Hornchurch,268,Upminster Bridge,1202.054653
141,Kew Gardens,213,Richmond,1898.97016
164,Mile End,244,Stepney Green,1007.174825
166,Monument,263,Tower Hill,682.5499392
195,Parsons Green,205,Putney Bridge,957.9753177
200,Plaistow,270,Upton Park,1263.416463
200,Plaistow,289,West Ham,855.3786689
209,Ravenscourt Park,242,Stamford Brook,700.1675565
229,Sloane Square,236,South Kensington,1216.294206
229,Sloane Square,273,Victoria,937.8993871
231,Southfields,300,Wimbledon Park,1337.851565
242,Stamford Brook,265,Turnham Green,611.2440043
244,Stepney Green,295,Whitechapel,1030.369169
248,St. James's Park,273,Victoria,842.0365732
248,St. James's Park,285,Westminster,589.9628407
267,Upminster,268,Upminster Bridge,1161.583961
299,Wimbledon,300,Wimbledon Park,1520.060584
41,Canada Water,216,Rotherhithe,350.0780645
41,Canada Water,253,Surrey Quays,570.0723509
174,New Cross,253,Surrey Quays,2123.942335
175,New Cross Gate,253,Surrey Quays,2028.050879
216,Rotherhithe,276,Wapping,432.7877074
225,Shadwell,276,Wapping,823.4261857
225,Shadwell,295,Whitechapel,929.6297085
228,Shoreditch,295,Whitechapel,760.7795234
3,Aldgate East,156,Liverpool Street,724.3413716
3,Aldgate East,295,Whitechapel,907.8777767
11,Baker Street,83,Edgware Road (C),931.2115774
11,Baker Street,104,Great Portland Street,925.826411
14,Barbican,92,Farringdon,513.7514262
14,Barbican,167,Moorgate,675.8724451
15,Barking,78,East Ham,2026.031984
33,Bow Road,36,Bromley-By-Bow,918.5472805
305,Pontoon Dock,306,London City Airport,1186.895495
33,Bow Road,164,Mile End,630.4817217
36,Bromley-By-Bow,289,West Ham,1289.682108
78,East Ham,270,Upton Park,1301.029805
83,Edgware Road (C),193,Paddington,665.5494256
90,Euston Square,104,Great Portland Street,606.7802471
90,Euston Square,145,King's Cross St. Pancras,995.1423672
92,Farringdon,145,King's Cross St. Pancras,1735.85691
101,Goldhawk Road,110,Hammersmith,919.0550221
101,Goldhawk Road,227,Shepherd's Bush (H),445.2482388
147,Ladbroke Grove,150,Latimer Road,581.713585
147,Ladbroke Grove,283,Westbourne Park,789.1556174
150,Latimer Road,227,Shepherd's Bush (H),1108.610429
156,Liverpool Street,167,Moorgate,446.2670918
164,Mile End,244,Stepney Green,1007.174825
193,Paddington,218,Royal Oak,955.6630276
200,Plaistow,270,Upton Park,1263.416463
200,Plaistow,289,West Ham,855.3786689
218,Royal Oak,283,Westbourne Park,936.1037013
244,Stepney Green,295,Whitechapel,1030.369169
11,Baker Street,28,Bond Street,1076.607648
11,Baker Street,249,St. John's Wood,1785.442777
23,Bermondsey,41,Canada Water,938.0809567
23,Bermondsey,157,London Bridge,1773.187096
28,Bond Street,107,Green Park,951.9620757
41,Canada Water,42,Canary Wharf,2174.547912
42,Canary Wharf,183,North Greenwich,1796.46196
43,Canning Town,183,North Greenwich,1607.823649
43,Canning Town,289,West Ham,1568.034312
45,Canons Park,207,Queensbury,1626.231455
45,Canons Park,243,Stanmore,1407.298034
71,Dollis Hill,172,Neasden,840.9820067
71,Dollis Hill,297,Willesden Green,1233.05514
94,Finchley Road,254,Swiss Cottage,633.5470454
94,Finchley Road,290,West Hampstead,715.2798037
107,Green Park,285,Westminster,1364.488894
142,Kilburn,290,West Hampstead,978.3569378
142,Kilburn,297,Willesden Green,1188.561612
144,Kingsbury,207,Queensbury,1187.853234
144,Kingsbury,282,Wembley Park,2348.39913
157,London Bridge,233,Southwark,1312.160108
172,Neasden,282,Wembley Park,2274.08243
233,Southwark,279,Waterloo,633.4214431
247,Stratford,289,West Ham,1588.171821
249,St. John's Wood,254,Swiss Cottage,945.799699
279,Waterloo,285,Westminster,823.246267
2,Aldgate,156,Liverpool Street,611.9207912
6,Amersham,46,Chalfont & Latimer,3244.890006
11,Baker Street,104,Great Portland Street,925.826411
11,Baker Street,94,Finchley Road,3175.274183
14,Barbican,92,Farringdon,513.7514262
14,Barbican,167,Moorgate,675.8724451
46,Chalfont & Latimer,50,Chesham,5401.80674
46,Chalfont & Latimer,53,Chorleywood,3319.569379
53,Chorleywood,214,Rickmansworth,3477.544282
62,Croxley,168,Moor Park,2059.162684
62,Croxley,280,Watford,1989.598217
75,Eastcote,210,Rayners Lane,1779.737731
75,Eastcote,222,Ruislip Manor,1135.557554
90,Euston Square,104,Great Portland Street,606.7802471
90,Euston Square,145,King's Cross St. Pancras,995.1423672
92,Farringdon,145,King's Cross St. Pancras,1735.85691
304,West Silvertown,305,Pontoon Dock,649.2040485
94,Finchley Road,282,Wembley Park,7115.148277
115,Harrow-on-the-Hill,178,Northwick Park,1265.602797
